"Assembly","Session","Date","Word","PDF"
"18th Assembly"," 3rd Session","2019-3-13","https://www.ntassembly.ca/sites/assembly/files/hn190313.docx","https://www.ntassembly.ca/sites/assembly/files/hn190313.pdf"
"18th Assembly"," 3rd Session","2019-3-12","https://www.ntassembly.ca/sites/assembly/files/hn190312.docx","https://www.ntassembly.ca/sites/assembly/files/hn190312.pdf"
"18th Assembly"," 3rd Session","2019-3-11","https://www.ntassembly.ca/sites/assembly/files/hn190311_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn190311.pdf"
"18th Assembly"," 3rd Session","2019-3-8","https://www.ntassembly.ca/sites/assembly/files/hn190308.docx","https://www.ntassembly.ca/sites/assembly/files/hn190308.pdf"
"18th Assembly"," 3rd Session","2019-3-7","https://www.ntassembly.ca/sites/assembly/files/hn190307_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn190307.pdf"
"18th Assembly"," 2nd Session","2017-10-4","https://www.ntassembly.ca/sites/assembly/files/hn171004_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn171004.pdf"
"18th Assembly"," 2nd Session","2017-10-3","https://www.ntassembly.ca/sites/assembly/files/hn171003.docx","https://www.ntassembly.ca/sites/assembly/files/hn171003.pdf"
"18th Assembly"," 2nd Session","2017-9-28","https://www.ntassembly.ca/sites/assembly/files/hn170928_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170928.pdf"
"18th Assembly"," 2nd Session","2017-9-27","https://www.ntassembly.ca/sites/assembly/files/hn170927_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170927_0.pdf"
"18th Assembly"," 2nd Session","2017-9-26","https://www.ntassembly.ca/sites/assembly/files/hn170926_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170926.pdf"
"18th Assembly"," 2nd Session","2017-9-25","https://www.ntassembly.ca/sites/assembly/files/hn170925_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170925.pdf"
"18th Assembly"," 2nd Session","2017-9-22","https://www.ntassembly.ca/sites/assembly/files/hn170922.docx","https://www.ntassembly.ca/sites/assembly/files/hn170922.pdf"
"18th Assembly"," 2nd Session","2017-9-21","https://www.ntassembly.ca/sites/assembly/files/hn170921.docx","https://www.ntassembly.ca/sites/assembly/files/hn170921.pdf"
"18th Assembly"," 2nd Session","2017-9-20","https://www.ntassembly.ca/sites/assembly/files/hn170920.docx","https://www.ntassembly.ca/sites/assembly/files/hn170920.pdf"
"18th Assembly"," 2nd Session","2017-9-19","https://www.ntassembly.ca/sites/assembly/files/hn170919.docx","https://www.ntassembly.ca/sites/assembly/files/hn170919.pdf"
"18th Assembly"," 2nd Session","2017-6-2","https://www.ntassembly.ca/sites/assembly/files/hn170602_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170602_0.pdf"
"18th Assembly"," 2nd Session","2017-6-1","https://www.ntassembly.ca/sites/assembly/files/hn170601_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170601.pdf"
"18th Assembly"," 2nd Session","2017-5-31","https://www.ntassembly.ca/sites/assembly/files/hn170531_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170531.pdf"
"18th Assembly"," 2nd Session","2017-5-30","https://www.ntassembly.ca/sites/assembly/files/hn170530_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170530_0.pdf"
"18th Assembly"," 2nd Session","2017-5-29","https://www.ntassembly.ca/sites/assembly/files/hn170529.docx","https://www.ntassembly.ca/sites/assembly/files/hn170529_0.pdf"
"18th Assembly"," 2nd Session","2017-5-26","https://www.ntassembly.ca/sites/assembly/files/hn170526.docx","https://www.ntassembly.ca/sites/assembly/files/hn170526.pdf"
"18th Assembly"," 2nd Session","2017-5-25","https://www.ntassembly.ca/sites/assembly/files/hn170525.docx","https://www.ntassembly.ca/sites/assembly/files/hn170525.pdf"
"18th Assembly"," 2nd Session","2017-3-10","https://www.ntassembly.ca/sites/assembly/files/hn170310_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170310_0.pdf"
"18th Assembly"," 2nd Session","2017-3-9","https://www.ntassembly.ca/sites/assembly/files/hn170309_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170309_0.pdf"
"18th Assembly"," 2nd Session","2017-3-8","https://www.ntassembly.ca/sites/assembly/files/hn170308_1.docx","https://www.ntassembly.ca/sites/assembly/files/hn170308_0.pdf"
"18th Assembly"," 2nd Session","2017-3-7","https://www.ntassembly.ca/sites/assembly/files/hn170307_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170307_0.pdf"
"18th Assembly"," 2nd Session","2017-3-6","https://www.ntassembly.ca/sites/assembly/files/hn170306.docx","https://www.ntassembly.ca/sites/assembly/files/hn170306.pdf"
"18th Assembly"," 2nd Session","2017-3-3","https://www.ntassembly.ca/sites/assembly/files/hn170303_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170303_0.pdf"
"18th Assembly"," 2nd Session","2017-3-2","https://www.ntassembly.ca/sites/assembly/files/hn170302.docx","https://www.ntassembly.ca/sites/assembly/files/hn170302.pdf"
"18th Assembly"," 2nd Session","2017-3-1","https://www.ntassembly.ca/sites/assembly/files/hn170301_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn170301.pdf"
"18th Assembly"," 1st Session","2015-12-17","https://www.ntassembly.ca/sites/assembly/files/hn151217_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn151217.pdf"
"18th Assembly"," 0th Session","2015-12-16","https://www.ntassembly.ca/sites/assembly/files/tlc151216_0.docx","https://www.ntassembly.ca/sites/assembly/files/tlc151216_0.pdf"
"18th Assembly"," 0th Session","2015-12-14","https://www.ntassembly.ca/sites/assembly/files/rt151214_0.docx","https://www.ntassembly.ca/sites/assembly/files/rt151214_0.pdf"
"17th Assembly"," 5th Session","2015-10-8","https://www.ntassembly.ca/sites/assembly/files/hn151008_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn151008.pdf"
"17th Assembly"," 5th Session","2015-10-7","https://www.ntassembly.ca/sites/assembly/files/hn151007.docx","https://www.ntassembly.ca/sites/assembly/files/hn151007_0.pdf"
"17th Assembly"," 5th Session","2015-10-6","https://www.ntassembly.ca/sites/assembly/files/hn151006_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn151006.pdf"
"17th Assembly"," 5th Session","2015-10-5","https://www.ntassembly.ca/sites/assembly/files/hn151005_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn151005_0.pdf"
"17th Assembly"," 5th Session","2015-10-2","https://www.ntassembly.ca/sites/assembly/files/hn151002.docx","https://www.ntassembly.ca/sites/assembly/files/hn151002.pdf"
"17th Assembly"," 5th Session","2015-10-1","https://www.ntassembly.ca/sites/assembly/files/hn151001.docx","https://www.ntassembly.ca/sites/assembly/files/hn151001.pdf"
"17th Assembly"," 5th Session","2015-9-30","https://www.ntassembly.ca/sites/assembly/files/hn150930_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150930.pdf"
"17th Assembly"," 5th Session","2015-9-29","https://www.ntassembly.ca/sites/assembly/files/hn150929.docx","https://www.ntassembly.ca/sites/assembly/files/hn150929.pdf"
"17th Assembly"," 5th Session","2015-6-4","https://www.ntassembly.ca/sites/assembly/files/hn150604_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150604.pdf"
"17th Assembly"," 5th Session","2015-6-3","https://www.ntassembly.ca/sites/assembly/files/hn150603_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150603.pdf"
"17th Assembly"," 5th Session","2015-6-2","https://www.ntassembly.ca/sites/assembly/files/hn150602_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150602.pdf"
"17th Assembly"," 5th Session","2015-6-1","https://www.ntassembly.ca/sites/assembly/files/hn150601_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150601.pdf"
"17th Assembly"," 5th Session","2015-5-29","https://www.ntassembly.ca/sites/assembly/files/hn150529.docx","https://www.ntassembly.ca/sites/assembly/files/hn150529.pdf"
"17th Assembly"," 5th Session","2015-5-28","https://www.ntassembly.ca/sites/assembly/files/hn150528_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150528.pdf"
"17th Assembly"," 5th Session","2015-5-27","https://www.ntassembly.ca/sites/assembly/files/hn150527_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150527.pdf"
"17th Assembly"," 5th Session","2015-3-12","https://www.ntassembly.ca/sites/assembly/files/hn150312.docx","https://www.ntassembly.ca/sites/assembly/files/hn150312.pdf"
"17th Assembly"," 5th Session","2015-3-11","https://www.ntassembly.ca/sites/assembly/files/hn150311_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150311.pdf"
"17th Assembly"," 5th Session","2015-3-10","https://www.ntassembly.ca/sites/assembly/files/hn150310_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150310.pdf"
"17th Assembly"," 5th Session","2015-3-9","https://www.ntassembly.ca/sites/assembly/files/hn150309_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150309.pdf"
"17th Assembly"," 5th Session","2015-3-6","https://www.ntassembly.ca/sites/assembly/files/hn150306_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150306.pdf"
"17th Assembly"," 5th Session","2015-3-5","https://www.ntassembly.ca/sites/assembly/files/hn150305_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn150305.pdf"
"17th Assembly"," 5th Session","2015-3-4","https://www.ntassembly.ca/sites/assembly/files/hn150304.docx","https://www.ntassembly.ca/sites/assembly/files/hn150304.pdf"
"17th Assembly"," 5th Session","2015-3-3","https://www.ntassembly.ca/sites/assembly/files/hn150303_1.docx","https://www.ntassembly.ca/sites/assembly/files/hn150303.pdf"
"17th Assembly"," 5th Session","2015-3-2","https://www.ntassembly.ca/sites/assembly/files/hn150302.docx","https://www.ntassembly.ca/sites/assembly/files/hn150302.pdf"
