"Date_Long","Date_Short","MHT","PDF"
"October 27, 2020","2020-10-27","https://yukonassembly.ca/sites/default/files/hansard/34-3-053_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-053.pdf"
"October 26, 2020","2020-10-26","https://yukonassembly.ca/sites/default/files/hansard/34-3-052_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-052.pdf"
"October 22, 2020","2020-10-22","https://yukonassembly.ca/sites/default/files/hansard/34-03-51_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-03-51.pdf"
"October 21, 2020","2020-10-21","https://yukonassembly.ca/sites/default/files/hansard/34-3-050_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-050.pdf"
"October 20, 2020","2020-10-20","https://yukonassembly.ca/sites/default/files/hansard/34-3-049_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-049.pdf"
"October 19, 2020","2020-10-19","https://yukonassembly.ca/sites/default/files/hansard/34-3-048_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-048.pdf"
"October 15, 2020","2020-10-15","https://yukonassembly.ca/sites/default/files/hansard/34-3-047_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-047.pdf"
"October 14, 2020","2020-10-14","https://yukonassembly.ca/sites/default/files/hansard/34-3-046_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-046.pdf"
"October 13, 2020","2020-10-13","https://yukonassembly.ca/sites/default/files/hansard/34-0-045.mht","https://yukonassembly.ca/sites/default/files/hansard/34-0-045.pdf"
"October 8, 2020","2020-10-08","https://yukonassembly.ca/sites/default/files/hansard/34-3-044_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-044.pdf"
"October 7, 2020","2020-10-07","https://yukonassembly.ca/sites/default/files/hansard/34-3-043.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-043.pdf"
"October 6, 2020","2020-10-06","https://yukonassembly.ca/sites/default/files/hansard/34-3-042.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-042.pdf"
"October 5, 2020","2020-10-05","https://yukonassembly.ca/sites/default/files/hansard/34-3-041_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-041.pdf"
"October 1, 2020","2020-10-01","https://yukonassembly.ca/sites/default/files/hansard/34-3-040_3.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-040.pdf"
"March 19, 2020","2020-03-19","https://yukonassembly.ca/sites/default/files/hansard/34-3-039_0_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-039.pdf"
"March 18, 2020","2020-03-18","https://yukonassembly.ca/sites/default/files/hansard/34-3-038_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-038.pdf"
"March 17, 2020","2020-03-17","https://yukonassembly.ca/sites/default/files/hansard/3-34-037_1.mht","https://yukonassembly.ca/sites/default/files/hansard/3-34-037.pdf"
"March 16, 2020","2020-03-16","https://yukonassembly.ca/sites/default/files/hansard/34-3-036_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-036.pdf"
"March 12, 2020","2020-03-12","https://yukonassembly.ca/sites/default/files/hansard/34-3-035.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-035.pdf"
"March 11, 2020","2020-03-11","https://yukonassembly.ca/sites/default/files/hansard/34-3-034_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-034.pdf"
"March 10, 2020","2020-03-10","https://yukonassembly.ca/sites/default/files/hansard/34-3-033_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-033.pdf"
"March 9, 2020","2020-03-09","https://yukonassembly.ca/sites/default/files/hansard/34-3-032_5.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-032.pdf"
"March 5, 2020","2020-03-05","https://yukonassembly.ca/sites/default/files/hansard/34-3-31_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-031.pdf"
"November 27, 2019","2019-11-27","https://yukonassembly.ca/sites/default/files/hansard/34-3-030.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-030.pdf"
"November 26, 2019","2019-11-26","https://yukonassembly.ca/sites/default/files/hansard/034-3-029.mht","https://yukonassembly.ca/sites/default/files/hansard/034-3-029.pdf"
"November 25, 2019","2019-11-25","https://yukonassembly.ca/sites/default/files/hansard/34-3-028_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-028_1.pdf"
"November 21, 2019","2019-11-21","https://yukonassembly.ca/sites/default/files/hansard/34-03-027_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-03-027_1.pdf"
"November 20, 2019","2019-11-20","https://yukonassembly.ca/sites/default/files/hansard/34-3-026_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-026_0.pdf"
"November 19, 2019","2019-11-19","https://yukonassembly.ca/sites/default/files/hansard/34-3-025_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-025_0.pdf"
"November 18, 2019","2019-11-18","https://yukonassembly.ca/sites/default/files/hansard/34-3-024.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-024.pdf"
"November 14, 2019","2019-11-14","https://yukonassembly.ca/sites/default/files/hansard/34-3-023.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-023.pdf"
"November 13, 2019","2019-11-13","https://yukonassembly.ca/sites/default/files/hansard/34-3-022.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-022.pdf"
"November 12, 2019","2019-11-12","https://yukonassembly.ca/sites/default/files/hansard/34-3-021.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-021.pdf"
"November 7, 2019","2019-11-07","https://yukonassembly.ca/sites/default/files/hansard/34-3-020_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-020_0.pdf"
"November 6, 2019","2019-11-06","https://yukonassembly.ca/sites/default/files/hansard/34-3-019.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-019.pdf"
"November 5, 2019","2019-11-05","https://yukonassembly.ca/sites/default/files/hansard/34-3-018.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-018.pdf"
"November 4, 2019","2019-11-04","https://yukonassembly.ca/sites/default/files/hansard/34-3-017_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-017_0.pdf"
"October 31, 2019","2019-10-31","https://yukonassembly.ca/sites/default/files/hansard/34-3-016_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-016_2.pdf"
"October 30, 2019","2019-10-30","https://yukonassembly.ca/sites/default/files/hansard/34-3-015_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-015_1.pdf"
"October 29, 2019","2019-10-29","https://yukonassembly.ca/sites/default/files/hansard/34-3-014_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-014_1.pdf"
"October 28, 2019","2019-10-28","https://yukonassembly.ca/sites/default/files/hansard/34-3-013_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-013_0.pdf"
"October 24, 2019","2019-10-24","https://yukonassembly.ca/sites/default/files/hansard/34-3-012_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-012_0.pdf"
"October 23, 2019","2019-10-23","https://yukonassembly.ca/sites/default/files/hansard/34-3-011_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-011_0.pdf"
"October 22, 2019","2019-10-22","https://yukonassembly.ca/sites/default/files/hansard/34-3-010_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-010_1.pdf"
"October 21, 2019","2019-10-21","https://yukonassembly.ca/sites/default/files/hansard/34-3-009_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-009_0.pdf"
"October 17, 2019","2019-10-17","https://yukonassembly.ca/sites/default/files/hansard/34-3-008_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-008_0.pdf"
"October 16, 2019","2019-10-16","https://yukonassembly.ca/sites/default/files/hansard/34-3-007_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-007_1.pdf"
"October 15, 2019","2019-10-15","https://yukonassembly.ca/sites/default/files/hansard/34-3-006_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-006_2.pdf"
"October 10, 2019","2019-10-10","https://yukonassembly.ca/sites/default/files/hansard/34-3-005_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-005_0.pdf"
"October 10, 2019","2019-10-10","https://yukonassembly.ca/sites/default/files/hansard/34-3-005_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-005_0.pdf"
"October 9, 2019","2019-10-09","https://yukonassembly.ca/sites/default/files/hansard/34-3-004_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-004_0.pdf"
"October 8, 2019","2019-10-08","https://yukonassembly.ca/sites/default/files/hansard/34-3-003_3.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-003_3.pdf"
"October 7, 2019","2019-10-07","https://yukonassembly.ca/sites/default/files/hansard/34-3-002_3.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-002_3.pdf"
"October 3, 2019","2019-10-03","https://yukonassembly.ca/sites/default/files/hansard/34-3-001.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-001_0.pdf"
"April 30, 2019","2019-04-30","https://yukonassembly.ca/sites/default/files/hansard/34-2-150.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-150.pdf"
"April 29, 2019","2019-04-29","https://yukonassembly.ca/sites/default/files/hansard/34-2-149.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-149.pdf"
"April 25, 2019","2019-04-25","https://yukonassembly.ca/sites/default/files/hansard/34-2-148.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-148.pdf"
"April 24, 2019","2019-04-24","https://yukonassembly.ca/sites/default/files/hansard/34-2-147.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-147.pdf"
"April 23, 2019","2019-04-23","https://yukonassembly.ca/sites/default/files/hansard/34-2-146.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-146.pdf"
"April 18, 2019","2019-04-18","https://yukonassembly.ca/sites/default/files/hansard/34-2-145.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-145.pdf"
"April 17, 2019","2019-04-17","https://yukonassembly.ca/sites/default/files/hansard/34-2-144.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-144.pdf"
"April 16, 2019","2019-04-16","https://yukonassembly.ca/sites/default/files/hansard/34-2-143.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-143.pdf"
"April 15, 2019","2019-04-15","https://yukonassembly.ca/sites/default/files/hansard/34-2-142.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-142.pdf"
"April 11, 2019","2019-04-11","https://yukonassembly.ca/sites/default/files/hansard/34-2-141.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-141.pdf"
"April 10, 2019","2019-04-10","https://yukonassembly.ca/sites/default/files/hansard/34-2-140.mht","https://yukonassembly.ca/sites/default/files/hansard/34-2-140.pdf"
